Results	Entity	Line	Column	CheckID	Check Name	Ignored	Note
Discarded Return Values	showGpl	226	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	230	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	231	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	232	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	233	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	234	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	235	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	236	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	237	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	238	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	239	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	240	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	241	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	242	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	243	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	244	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	245	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	246	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	247	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	248	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	249	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	250	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	251	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	252	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	253	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	254	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	258	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	259	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	260	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	261	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	262	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	263	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	264	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	265	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	266	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	267	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	268	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	269	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	270	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	271	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	272	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	273	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	274	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	275	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	276	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	277	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	278	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	279	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	280	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	281	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	282	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	286	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	287	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	288	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	289	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	290	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	291	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	292	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	293	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	294	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	295	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	296	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	297	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	298	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	299	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	300	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	301	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	302	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	303	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	304	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	305	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	306	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	307	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	308	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	309	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	310	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	314	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	315	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	316	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	317	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	318	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	319	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	320	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	321	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	322	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	323	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	324	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	325	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	326	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	327	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	328	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	329	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	330	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	331	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	332	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	333	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	334	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	335	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	336	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	337	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	338	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	342	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	343	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	344	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	345	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	346	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	347	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	348	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	349	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	350	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	351	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	352	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	353	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	354	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	355	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	356	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	357	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	358	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	359	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	360	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	361	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	362	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	363	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	364	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	365	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	366	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	370	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	371	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	372	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	373	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	374	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	375	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	376	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	377	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	378	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	379	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	380	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	381	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	382	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	383	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	384	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	385	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	386	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	387	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	388	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	389	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	390	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	391	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	392	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	393	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	394	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	398	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	399	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	400	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	401	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	402	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	403	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	404	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	405	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	406	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	407	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	408	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	409	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	410	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	411	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	412	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	413	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	414	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	415	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	416	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	417	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	418	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	419	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	420	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	421	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	422	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	426	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	427	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	428	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	429	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	430	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	431	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	432	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	433	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	434	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	435	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	436	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	437	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	438	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	439	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	440	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	441	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	442	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	443	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	444	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	445	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	446	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	447	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	448	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	449	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	450	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	454	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	455	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	456	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	457	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	458	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	459	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	460	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	461	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	462	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	463	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	464	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	465	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	466	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	467	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	468	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	469	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	470	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	471	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	472	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	473	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	474	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	475	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	476	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	477	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	478	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	482	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	483	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	484	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	485	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	486	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	487	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	488	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	489	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	490	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	491	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	492	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	493	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	494	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	495	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	496	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	497	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	498	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	499	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	500	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	501	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	502	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	503	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	504	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	505	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	506	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	510	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	511	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	512	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	513	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	514	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	515	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	516	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	517	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	518	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	519	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	520	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	521	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	522	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	523	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	524	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	525	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
Discarded Return Values	showGpl	526	8	MISRA12_17.7	17.7 The value returned by a function having non-void return type shall be used		
/home/gabriele/projects/ninvaders-0.1.1/globals.h							
Declaration or Definition of doSleep is not compatible with another declaration or definition in file globals.c on line 44	doSleep	28	12	MISRA12_8.3	8.3 All declarations of an object or function shall use the same names and type qualifiers		
Object or function showGpl, has more than one declaration	showGpl	33	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Object or function showGplShort, has more than one declaration	showGplShort	32	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
Object or function showUsage, has more than one declaration	showUsage	30	12	MISRA12_8.5	8.5 An external object or function shall be declared once in one and only one file		
